文字, ローマ字
あ, a
い, i
う, u
え, e
お, o
か, ka
き, ki
く, ku
け, ke
こ, ko
さ, sa
し, si, shi
す, su
せ, se
そ, so
た, ta
ち, ti, chi
つ, tu, tsu
て, te
と, to
な, na
に, ni
ぬ, nu
ね, ne
の, no
は, ha
ひ, hi
ふ, hu, fu
へ, he
ほ, ho
ま, ma
み, mi
む, mu
め, me
も, mo
や, ya
ゆ, yu
よ, yo
ら, ra
り, ri
る, ru
れ, re
ろ, ro
わ, wa
を, wo
ん, nn
が, ga
ぎ, gi
ぐ, gu
げ, ge
ご, go
ざ, za
じ, zi, ji
ず, zu
ぜ, ze
ぞ, zo
だ, da
ぢ, di
づ, du
で, de
ど, do
ば, ba
び, bi
ぶ, bu
べ, be
ぼ, bo
ぱ, pa
ぴ, pi
ぷ, pu
ぺ, pe
ぽ, po
ー, -
